,0,1,2,3,4
0,6.360217563757116,6.142740983892475,5.871024876195971,5.21149828125,5.4241080828309745
1,6.424157689287043,6.19427310800612,5.947962176512218,5.276340781250001,5.48827578132744
2,6.478531057293416,6.276681159007577,6.040464465059113,5.3214234765625,5.445355429180568
3,6.600638965724557,6.364799627244023,6.097293918827747,5.3934001171875,5.5567727824509365
4,6.661190984683225,6.431019744695227,6.177984109482156,5.4482165234375,5.6311717014863225
5,6.751720908564842,6.524957735894848,6.279281112642095,5.5216361328125005,5.680985592942442
6,6.797435576131211,6.596697182241456,6.288919711819969,5.562431406250001,5.688661346027489
7,6.8314041805205,6.633238712315443,6.36222617574108,5.5915248828125,5.745773295094864
8,6.902143222784321,6.698091836258173,6.4533089012492555,5.6541946484375,5.739953187634443
9,7.021566650968854,6.768352140595132,6.518591331794516,5.724924296875001,5.722515128590852
10,7.025372040793019,6.866767943528107,6.592685962593203,5.7805196875,5.8397798244760075
11,7.136086570302494,6.92449153884206,6.676583155407892,5.833916484375001,6.1775463599395435
12,7.144983267692628,6.982543580861579,6.706455033472171,5.87574859375,6.625236419038581
13,7.237799811053208,7.0406652095786955,6.749892802380238,5.927373867187501,6.986371989730105
14,7.286160439649629,7.106240824856982,6.857370918083591,5.9794671484375,7.384275064708971
15,7.407736604610261,7.162402844233698,6.91293118884997,6.0388635546875005,8.080744537143978
16,7.4262180147765475,7.264204142540281,7.023975864929106,6.1118448046875,8.411860337375415
17,7.467335291457946,7.258347725322324,7.012217868802369,6.130851015625001,8.891429203245176
18,7.592811771222086,7.336512445675122,7.0959179396604135,6.1881579687500015,9.358729290471436
